Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_TRANS_F32,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_TRANS_F64,TA_BUFFER_COALESCED_READ_CYCLES_sum,TA_BUFFER_COALESCED_WRITE_CYCLES_sum,TD_COALESCABLE_WAVEFRONT_sum,TCP_TOTAL_ATOMIC_WITH_RET_sum,TCP_TOTAL_ATOMIC_WITHOUT_RET_sum,TCP_TOTAL_WRITEBACK_INVALIDATES_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCC_EA0_ATOMIC[0],TCC_EA0_RDREQ_LEVEL[0],TCC_EA0_WRREQ_LEVEL[0],TCC_EA0_ATOMIC_LEVEL[0],TCC_EA0_ATOMIC[1],TCC_EA0_RDREQ_LEVEL[1],TCC_EA0_WRREQ_LEVEL[1],TCC_EA0_ATOMIC_LEVEL[1],TCC_EA0_ATOMIC[2],TCC_EA0_RDREQ_LEVEL[2],TCC_EA0_WRREQ_LEVEL[2],TCC_EA0_ATOMIC_LEVEL[2],TCC_EA0_ATOMIC[3],TCC_EA0_RDREQ_LEVEL[3],TCC_EA0_WRREQ_LEVEL[3],TCC_EA0_ATOMIC_LEVEL[3],TCC_EA0_ATOMIC[4],TCC_EA0_RDREQ_LEVEL[4],TCC_EA0_WRREQ_LEVEL[4],TCC_EA0_ATOMIC_LEVEL[4],TCC_EA0_ATOMIC[5],TCC_EA0_RDREQ_LEVEL[5],TCC_EA0_WRREQ_LEVEL[5],TCC_EA0_ATOMIC_LEVEL[5],TCC_EA0_ATOMIC[6],TCC_EA0_RDREQ_LEVEL[6],TCC_EA0_WRREQ_LEVEL[6],TCC_EA0_ATOMIC_LEVEL[6],TCC_EA0_ATOMIC[7],TCC_EA0_RDREQ_LEVEL[7],TCC_EA0_WRREQ_LEVEL[7],TCC_EA0_ATOMIC_LEVEL[7],TCC_EA0_ATOMIC[8],TCC_EA0_RDREQ_LEVEL[8],TCC_EA0_WRREQ_LEVEL[8],TCC_EA0_ATOMIC_LEVEL[8],TCC_EA0_ATOMIC[9],TCC_EA0_RDREQ_LEVEL[9],TCC_EA0_WRREQ_LEVEL[9],TCC_EA0_ATOMIC_LEVEL[9],TCC_EA0_ATOMIC[10],TCC_EA0_RDREQ_LEVEL[10],TCC_EA0_WRREQ_LEVEL[10],TCC_EA0_ATOMIC_LEVEL[10],TCC_EA0_ATOMIC[11],TCC_EA0_RDREQ_LEVEL[11],TCC_EA0_WRREQ_LEVEL[11],TCC_EA0_ATOMIC_LEVEL[11],TCC_EA0_ATOMIC[12],TCC_EA0_RDREQ_LEVEL[12],TCC_EA0_WRREQ_LEVEL[12],TCC_EA0_ATOMIC_LEVEL[12],TCC_EA0_ATOMIC[13],TCC_EA0_RDREQ_LEVEL[13],TCC_EA0_WRREQ_LEVEL[13],TCC_EA0_ATOMIC_LEVEL[13],TCC_EA0_ATOMIC[14],TCC_EA0_RDREQ_LEVEL[14],TCC_EA0_WRREQ_LEVEL[14],TCC_EA0_ATOMIC_LEVEL[14],TCC_EA0_ATOMIC[15],TCC_EA0_RDREQ_LEVEL[15],TCC_EA0_WRREQ_LEVEL[15],TCC_EA0_ATOMIC_LEVEL[15],CPC_CPC_UTCL2IU_BUSY,CPC_CPC_UTCL2IU_IDLE,CPF_CMP_UTCL1_STALL_ON_TRANSLATION,SPI_RA_RES_STALL_CSN,SPI_RA_TMP_STALL_CSN,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,__amd_rocclr_copyBuffer.kd,2,0,3,4500,4500,1024,512,0,0,16,0,32,64,0x0,0x79ba982aba80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,512.0,0,40391,3546,0,0,40788,3645,0,0,40418,3651,0,0,40318,3705,0,0,41032,3788,0,0,40879,3691,0,0,40440,3944,0,0,41645,3792,0,0,41523,3610,0,0,41417,3698,0,0,40847,3640,0,0,40904,3700,0,0,40164,3773,0,0,39893,3699,0,0,39782,3860,0,0,40617,3708,0,11656,122976,0,0,0,1930630472118905,1930750760057048,1930750760060173,1930630481040922
1,__amd_rocclr_copyBuffer.kd,2,0,11,4500,4500,1024,512,0,0,16,0,32,64,0x0,0x79ba982aba80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,512.0,0,38898,3587,0,0,39055,3655,0,0,38544,3667,0,0,38701,3728,0,0,39095,3822,0,0,39022,3726,0,0,38823,3974,0,0,39368,3810,0,0,40179,3595,0,0,40387,3717,0,0,38683,3692,0,0,39181,3714,0,0,38289,3778,0,0,38122,3705,0,0,37762,3887,0,0,38680,3730,0,11666,121866,0,0,0,1930630529181671,1930750806566020,1930750806568784,1930630529879452
2,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,14,4500,4500,2097152,512,32768,0,4,132,32,64,0x0,0x79ba982760c0,33554432,319202825,25536482226,0,0,0,0,0,0.0,0.0,1048576.0,0.0,0.0,304.0,339738624.0,0,583247113,35803843,0,0,600055532,37129925,0,0,603503332,36706472,0,0,606995490,37443611,0,0,607151076,35772457,0,0,603996780,35678491,0,0,636603942,37458449,0,0,618267477,36393346,0,0,581195272,35562257,0,0,600076737,36918474,0,0,603361531,36472586,0,0,606851327,37137540,0,0,607096696,35527615,0,0,603901370,35597540,0,0,636633781,37352143,0,0,618216257,36411915,0,935,72013113,78,66466463,0,1930630531763975,1930750807414393,1930750811927618,1930630536883165
3,__amd_rocclr_copyBuffer.kd,2,0,20,4500,4500,1024,512,0,0,16,0,32,64,0x0,0x79ba982aba80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,512.0,0,40770,3821,0,0,41032,3913,0,0,40830,3654,0,0,40463,3742,0,0,40720,3792,0,0,40620,3729,0,0,40211,3954,0,0,40939,3820,0,0,40844,3612,0,0,40877,3730,0,0,40651,3645,0,0,40808,3711,0,0,40534,4040,0,0,40071,3960,0,0,40250,3861,0,0,40742,3712,0,11875,119917,0,0,0,1930630541111941,1930750814881742,1930750814884986,1930630541713729
4,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,23,4500,4500,2097152,512,32768,0,4,132,32,64,0x0,0x79ba982760c0,33554432,319201627,25536381434,0,0,0,0,0,0.0,0.0,1048576.0,0.0,0.0,304.0,339738624.0,0,564952097,35597111,0,0,580894539,36527848,0,0,584042554,36745596,0,0,587623554,36830225,0,0,588236547,35792884,0,0,584947530,35550197,0,0,615711494,37532691,0,0,597856830,36370232,0,0,562870665,35678656,0,0,580825082,36647404,0,0,584106452,36718386,0,0,587518273,36916613,0,0,588079671,35707352,0,0,584898606,35422726,0,0,615750510,37489208,0,0,597885352,36309780,0,8273,72042849,77,66417022,0,1930630542737782,1930750814909382,1930750819351463,1930630548322149
5,__amd_rocclr_copyBuffer.kd,2,0,29,4500,4500,1024,512,0,0,16,0,32,64,0x0,0x79ba982aba80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,512.0,0,40727,4153,0,0,40628,4163,0,0,40453,3828,0,0,40451,3729,0,0,41282,3998,0,0,40650,3886,0,0,40695,3959,0,0,41644,3822,0,0,40636,3806,0,0,40271,3901,0,0,40627,3644,0,0,40607,3713,0,0,40822,4276,0,0,40409,4171,0,0,40173,3853,0,0,41106,3721,0,12049,122160,0,0,0,1930630552859531,1930750822513053,1930750822515937,1930630553467839
6,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,32,4500,4500,2097152,512,32768,0,4,132,32,64,0x0,0x79ba982760c0,33554432,319203788,25536433138,0,0,0,0,0,0.0,0.0,1048576.0,0.0,0.0,304.0,339738624.0,0,562569651,36078730,0,0,577574032,37309651,0,0,581879049,37311984,0,0,584612731,37704192,0,0,585925429,35954264,0,0,581801947,35828030,0,0,613600516,37790097,0,0,594987072,36683529,0,0,560327107,36179814,0,0,577607177,37340164,0,0,581774657,37320361,0,0,584699638,37687834,0,0,585632794,35800319,0,0,581581366,35790130,0,0,613560132,37647717,0,0,595021921,36678947,0,8638,72118078,0,66481031,0,1930630554489328,1930750822545414,1930750826975597,1930630560070451
7,__amd_rocclr_copyBuffer.kd,2,0,38,4500,4500,1024,512,0,0,16,0,32,64,0x0,0x79ba982aba80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,512.0,0,37865,3805,0,0,38402,4092,0,0,38318,3665,0,0,38828,3719,0,0,38934,3807,0,0,38568,4060,0,0,39224,3944,0,0,39573,3792,0,0,38864,3594,0,0,38782,4055,0,0,39288,3634,0,0,39244,3694,0,0,38491,4019,0,0,37741,4077,0,0,39742,3845,0,0,39011,3725,0,12135,123267,0,0,0,1930630564633560,1930750830129414,1930750830132699,1930630565176481
8,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,41,4500,4500,2097152,512,32768,0,4,132,32,64,0x0,0x79ba982760c0,33554432,319199726,25536333390,0,0,0,0,0,0.0,0.0,1048576.0,0.0,0.0,304.0,339738624.0,0,561398583,36202974,0,0,577449436,37129836,0,0,581440432,37221881,0,0,584059733,37681107,0,0,585784002,36254125,0,0,580932979,36016503,0,0,612253202,38054146,0,0,594769140,36899722,0,0,559351316,36150860,0,0,577559950,37245864,0,0,581325178,37170985,0,0,584079384,37667670,0,0,585762958,36108756,0,0,581073903,35951375,0,0,612298306,37904450,0,0,594764420,36805477,0,8668,72078434,0,66465842,0,1930630566213103,1930750830155253,1930750834589562,1930630571708939
9,__amd_rocclr_copyBuffer.kd,2,0,47,4500,4500,1024,512,0,0,16,0,32,64,0x0,0x79ba982aba80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,512.0,0,38618,3810,0,0,38661,3907,0,0,38504,3657,0,0,38856,3721,0,0,38434,3801,0,0,38153,3711,0,0,38133,3953,0,0,39070,3797,0,0,38243,3603,0,0,38581,3688,0,0,39250,3618,0,0,38509,3709,0,0,38224,4014,0,0,38351,3953,0,0,39439,3830,0,0,39873,3719,0,12099,121195,0,0,0,1930630576163609,1930750837723791,1930750837727156,1930630576715313
10,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,50,4500,4500,2097152,512,32768,0,4,132,32,64,0x0,0x79ba982760c0,33554432,319198183,25536360184,0,0,0,0,0,0.0,0.0,1048576.0,0.0,0.0,304.0,339738624.0,0,562282655,35137000,0,0,578460602,36711459,0,0,581960302,36163636,0,0,585091164,37104612,0,0,586417939,35381655,0,0,582864933,35539251,0,0,614676752,37163011,0,0,596324962,36398154,0,0,560137791,35186801,0,0,578542554,36444860,0,0,581940845,36130158,0,0,585152388,36629493,0,0,586274814,35191967,0,0,582873680,35243273,0,0,614591608,37065223,0,0,596362203,36159899,0,8456,72002456,77,66363190,0,1930630577724093,1930750837756800,1930750842184419,1930630583265187
11,__amd_rocclr_copyBuffer.kd,2,0,56,4500,4500,1024,512,0,0,16,0,32,64,0x0,0x79ba982aba80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,512.0,0,40480,3825,0,0,41547,3910,0,0,40450,3716,0,0,39999,3758,0,0,37887,3810,0,0,38063,3709,0,0,38939,3949,0,0,39654,3777,0,0,40376,3613,0,0,40963,3723,0,0,40680,3674,0,0,39823,3747,0,0,39551,4052,0,0,40128,3943,0,0,40548,3869,0,0,40869,3733,0,12889,123549,0,0,0,1930630587710823,1930750845325418,1930750845328463,1930630588306393
12,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,59,4500,4500,2097152,512,32768,0,4,132,32,64,0x0,0x79ba982760c0,33554432,319210177,25536642856,0,0,0,0,0,0.0,0.0,1048576.0,0.0,0.0,304.0,339738624.0,0,579414373,36386141,0,0,596541808,38040427,0,0,599087757,37544578,0,0,603251989,38451257,0,0,602889961,36483446,0,0,600378892,36502755,0,0,631287441,38186684,0,0,614342829,37296149,0,0,577107960,36469921,0,0,596565587,37750912,0,0,598816465,37663579,0,0,603097415,38111474,0,0,602482256,36369936,0,0,600310940,36456929,0,0,631156661,38185160,0,0,614315312,37245027,0,8641,72092702,77,66469310,0,1930630589353980,1930750845357346,1930750849778596,1930630594898128
13,__amd_rocclr_copyBuffer.kd,2,0,65,4500,4500,1024,512,0,0,16,0,32,64,0x0,0x79ba982aba80,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,512.0,0,39429,4068,0,0,39318,4155,0,0,39801,3693,0,0,39380,3732,0,0,38084,4010,0,0,37681,3916,0,0,38575,3954,0,0,39217,3853,0,0,40006,3815,0,0,39303,3911,0,0,40289,3635,0,0,39830,3731,0,0,38444,4302,0,0,38274,4186,0,0,38472,3878,0,0,39860,3744,0,12229,122033,0,0,0,1930630599409470,1930750852916871,1930750852920036,1930630599951331
14,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,68,4500,4500,2097152,512,32768,0,4,132,32,64,0x0,0x79ba982760c0,33554432,319200246,25536447634,0,0,0,0,0,0.0,0.0,1048576.0,0.0,0.0,304.0,339738624.0,0,563583913,36070982,0,0,579215876,37224887,0,0,582900096,37228896,0,0,585024449,37678336,0,0,587512495,36315910,0,0,582225504,36091759,0,0,615083227,38151274,0,0,597030880,36956340,0,0,561551419,36129382,0,0,579229280,37344458,0,0,582891214,37186015,0,0,584875063,37567504,0,0,587431731,36245429,0,0,582219715,35994092,0,0,615108162,38068866,0,0,596939989,36881206,0,8644,72146508,0,66479925,0,1930630600967211,1930750852948197,1930750857388475,1930630606467815
