Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,SQ_INSTS_VALU_CVT,SQ_INSTS_VMEM_WR,SQ_INSTS_VMEM_RD,SQ_INSTS_SALU,SQ_INSTS_VSKIPPED,TA_TA_BUSY_sum,TA_BUFFER_WAVEFRONTS_sum,TD_TD_BUSY_sum,TD_TC_STALL_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,TCP_TD_TCP_STALL_CYCLES_sum,TCP_TCR_TCP_STALL_CYCLES_sum,TCC_CYCLE[0],TCC_RW_REQ[0],TCC_HIT[0],TCC_MISS[0],TCC_CYCLE[1],TCC_RW_REQ[1],TCC_HIT[1],TCC_MISS[1],TCC_CYCLE[2],TCC_RW_REQ[2],TCC_HIT[2],TCC_MISS[2],TCC_CYCLE[3],TCC_RW_REQ[3],TCC_HIT[3],TCC_MISS[3],TCC_CYCLE[4],TCC_RW_REQ[4],TCC_HIT[4],TCC_MISS[4],TCC_CYCLE[5],TCC_RW_REQ[5],TCC_HIT[5],TCC_MISS[5],TCC_CYCLE[6],TCC_RW_REQ[6],TCC_HIT[6],TCC_MISS[6],TCC_CYCLE[7],TCC_RW_REQ[7],TCC_HIT[7],TCC_MISS[7],TCC_CYCLE[8],TCC_RW_REQ[8],TCC_HIT[8],TCC_MISS[8],TCC_CYCLE[9],TCC_RW_REQ[9],TCC_HIT[9],TCC_MISS[9],TCC_CYCLE[10],TCC_RW_REQ[10],TCC_HIT[10],TCC_MISS[10],TCC_CYCLE[11],TCC_RW_REQ[11],TCC_HIT[11],TCC_MISS[11],TCC_CYCLE[12],TCC_RW_REQ[12],TCC_HIT[12],TCC_MISS[12],TCC_CYCLE[13],TCC_RW_REQ[13],TCC_HIT[13],TCC_MISS[13],TCC_CYCLE[14],TCC_RW_REQ[14],TCC_HIT[14],TCC_MISS[14],TCC_CYCLE[15],TCC_RW_REQ[15],TCC_HIT[15],TCC_MISS[15],CPC_CPC_STAT_BUSY,CPC_CPC_STAT_IDLE,CPF_CPF_STAT_BUSY,CPF_CPF_STAT_STALL,SPI_CSN_WINDOW_VALID,SPI_CSN_BUSY,GRBM_SPI_BUSY,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
16,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,77,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,192372572,15386788340,0,1048576,20971520,38273024,0,549225056.0,0.0,825850937.0,471289992.0,2732703825.0,871220536.0,491327.0,130376.0,72005879,4525120,3316145,1208995,72005879,4525440,3316781,1208667,72005879,4525200,3316358,1208854,72005879,4525120,3316434,1208709,72005879,4525840,3316902,1208947,72005879,4525759,3317073,1208702,72005879,4525760,3316785,1208995,72005879,4525760,3317172,1208600,72005879,4525120,3316289,1208850,72005879,4525440,3316899,1208551,72005879,4525200,3316367,1208845,72005879,4525120,3316430,1208715,72005879,4525840,3317091,1208758,72005879,4525760,3317073,1208705,72005879,4525757,3316920,1208857,72005879,4525760,3316989,1208784,72005879,0,72005879,0,288023516,287605746,71904306,1930649282919252,1930750860541933,1930750864963944,1930649288481818
17,__amd_rocclr_copyBuffer.kd,2,0,83,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,756,60796,0,16,16,304,0,2535.0,0.0,8002.0,7667.0,1085749.0,8113.0,1.0,0.0,129500,20,10,18,129500,20,10,19,129500,20,10,18,129500,20,10,18,129500,16,8,16,129500,18,10,20,129500,20,10,22,129500,20,10,18,129500,20,10,18,129500,20,10,19,129500,20,10,18,129500,20,10,18,129500,16,8,16,129500,18,10,20,129500,20,10,22,129500,20,10,18,129500,0,129500,0,518000,50394,23410,1930649293097845,1930750868087638,1930750868090562,1930649293680315
18,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,86,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,193642056,15488567088,0,1048576,20971520,38273024,0,552607339.0,0.0,830128211.0,475563108.0,2738241912.0,875473363.0,493576.0,212854.0,72152354,4525184,3335005,1190195,72152354,4525504,3335384,1190133,72152354,4525264,3335064,1190213,72152354,4525184,3335032,1190173,72152354,4525904,3335583,1190326,72152354,4525824,3335718,1190122,72152354,4525824,3335497,1190345,72152354,4525824,3335655,1190179,72152354,4525184,3334989,1190211,72152354,4525504,3335405,1190112,72152354,4525264,3335112,1190165,72152354,4525184,3335064,1190139,72152354,4525904,3335660,1190248,72152354,4525824,3335612,1190230,72152354,4525824,3335565,1190277,72152354,4525824,3335579,1190256,72152354,0,72152354,77,288609416,288188740,72050255,1930649294426828,1930750868114798,1930750872544060,1930649299943716
19,__amd_rocclr_copyBuffer.kd,2,0,92,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,755,60528,0,16,16,304,0,2631.0,0.0,7926.0,7595.0,1093926.0,8034.0,1.0,0.0,132100,20,10,18,132100,20,10,19,132100,20,10,18,132100,20,10,18,132100,16,8,16,132100,18,10,20,132100,20,10,22,132100,20,10,18,132100,20,10,18,132100,20,10,19,132100,20,10,18,132100,20,10,18,132100,16,8,16,132100,18,10,20,132100,20,10,22,132100,20,10,18,132100,0,132100,0,528400,50173,23177,1930649304578061,1930750875657859,1930750875660903,1930649305158358
20,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,95,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,195274568,15618966388,0,1048576,20971520,38273024,0,553895841.0,0.0,835356635.0,480786761.0,2742365349.0,880732791.0,490632.0,101402.0,72260995,4525136,3303345,1221811,72260995,4525456,3303661,1221807,72260995,4525216,3303436,1221796,72260995,4525136,3303445,1221710,72260995,4525856,3303935,1221926,72260995,4525775,3303891,1221900,72260995,4525776,3303948,1221845,72260995,4525776,3303942,1221843,72260995,4525136,3303594,1221559,72260995,4525456,3303710,1221760,72260995,4525216,3303413,1221819,72260995,4525136,3303392,1221762,72260995,4525856,3304012,1221848,72260995,4525776,3303954,1221840,72260995,4525776,3303998,1221796,72260995,4525775,3303904,1221881,72260995,0,72260995,77,289043980,288622754,72158770,1930649306321676,1930750875685259,1930750880114561,1930649311862980
21,__amd_rocclr_copyBuffer.kd,2,0,101,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,744,59956,0,16,16,304,0,2508.0,0.0,7882.0,7557.0,1082626.0,7995.0,1.0,0.0,135404,20,10,18,135404,20,10,19,135404,20,10,18,135404,20,10,18,135404,16,8,16,135404,18,10,20,135404,20,10,22,135404,20,10,18,135404,20,10,18,135404,20,10,19,135404,20,10,18,135404,20,10,18,135404,16,8,16,135404,18,10,20,135404,20,10,22,135404,20,10,18,135404,0,135404,0,541616,50046,23035,1930649316480479,1930750883216543,1930750883219547,1930649317062559
22,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,104,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,192500690,15397179648,0,1048576,20971520,38273024,0,549085333.0,0.0,825143217.0,470571369.0,2732410725.0,870531893.0,490341.0,145281.0,71999897,4525184,3318450,1206754,71999897,4525504,3318827,1206687,71999897,4525264,3318563,1206716,71999897,4525184,3318471,1206735,71999897,4525904,3319225,1206688,71999897,4525824,3319157,1206683,71999897,4525824,3319284,1206555,71999897,4525824,3319289,1206545,71999897,4525184,3318639,1206566,71999897,4525504,3318897,1206616,71999897,4525264,3318689,1206590,71999897,4525184,3318528,1206680,71999897,4525904,3319312,1206600,71999897,4525824,3319286,1206555,71999897,4525824,3319189,1206651,71999897,4525824,3319137,1206697,71999897,0,71999897,0,287999588,287574916,71896696,1930649318224335,1930750883240218,1930750887672684,1930649323787552
23,__amd_rocclr_copyBuffer.kd,2,0,110,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,713,56932,0,16,16,304,0,2251.0,0.0,7462.0,7140.0,1086776.0,7573.0,1.0,0.0,132718,20,10,18,132718,20,10,19,132718,20,10,18,132718,20,10,18,132718,16,8,16,132718,18,10,20,132718,20,10,22,132718,20,10,18,132718,20,10,18,132718,20,10,19,132718,20,10,18,132718,20,10,18,132718,16,8,16,132718,18,10,20,132718,20,10,22,132718,20,10,18,132718,0,132718,0,530872,49459,22465,1930649328422406,1930750890773708,1930750890776913,1930649328995933
24,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,113,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,193285828,15459975664,0,1048576,20971520,38273024,0,548602349.0,0.0,826854295.0,472284260.0,2732169998.0,872214034.0,491676.0,163873.0,71995618,4525148,3297843,1227323,71995618,4525468,3298226,1227255,71995618,4525228,3297877,1227366,71995618,4525148,3297798,1227367,71995618,4525868,3298527,1227346,71995618,4525788,3298469,1227337,71995618,4525787,3298372,1227431,71995618,4525787,3298536,1227262,71995618,4525148,3297687,1227483,71995618,4525468,3298045,1227438,71995618,4525228,3297758,1227487,71995618,4525148,3297871,1227294,71995618,4525866,3298491,1227379,71995618,4525788,3298372,1227432,71995618,4525788,3298488,1227316,71995618,4525788,3298501,1227298,71995618,0,71995618,0,287982472,287549748,71893247,1930649330131391,1930750890801588,1930750895226524,1930649335714797
25,__amd_rocclr_copyBuffer.kd,2,0,119,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,731,58472,0,16,16,304,0,2398.0,0.0,7650.0,7331.0,1081897.0,7759.0,0.0,0.0,136240,20,10,18,136240,20,10,19,136240,20,10,18,136240,20,10,18,136240,16,8,16,136240,18,10,20,136240,20,10,22,136240,20,10,18,136240,20,10,18,136240,20,10,19,136240,20,10,18,136240,20,10,18,136240,16,8,16,136240,18,10,20,136240,20,10,22,136240,20,10,18,136240,0,136240,0,544960,49965,23001,1930649340337354,1930750898336117,1930750898339441,1930649340946494
26,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,122,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,192909868,15429728368,0,1048576,20971520,38273024,0,549577680.0,0.0,826272824.0,471704257.0,2732895138.0,871669445.0,491145.0,102337.0,72011385,4525184,3295796,1229408,72011385,4525504,3296339,1229178,72011385,4525264,3295876,1229403,72011385,4525184,3296120,1229085,72011385,4525904,3296393,1229516,72011385,4525824,3296725,1229115,72011385,4525824,3296257,1229582,72011385,4525824,3296562,1229274,72011385,4525184,3295853,1229351,72011385,4525504,3296502,1229016,72011385,4525264,3295957,1229324,72011385,4525184,3296137,1229067,72011385,4525904,3296511,1229397,72011385,4525824,3296710,1229132,72011385,4525824,3296450,1229388,72011385,4525824,3296768,1229066,72011385,0,72011385,77,288045540,287625886,71909599,1930649342131043,1930750898362996,1930750902787251,1930649347711785
27,__amd_rocclr_copyBuffer.kd,2,0,128,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,728,58500,0,16,16,304,0,2347.0,0.0,7618.0,7296.0,1088896.0,7729.0,2.0,0.0,131270,20,10,18,131270,20,10,19,131270,20,10,18,131270,20,10,18,131270,16,8,16,131270,18,10,20,131270,20,10,22,131270,20,10,18,131270,20,10,18,131270,20,10,19,131270,20,10,18,131270,20,10,18,131270,16,8,16,131270,18,10,20,131270,20,10,22,131270,20,10,18,131270,0,131270,0,525080,49672,22670,1930649352309135,1930750905889953,1930750905892758,1930649352881290
28,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,131,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,193774449,15499090036,0,1048576,20971520,38273024,0,551774617.0,0.0,828536588.0,473970298.0,2736476306.0,873888691.0,490947.0,234070.0,72104642,4525144,3321029,1204131,72104642,4525464,3321396,1204074,72104642,4525224,3321109,1204127,72104642,4525144,3320998,1204168,72104642,4525864,3321765,1204109,72104642,4525784,3321754,1204046,72104642,4525784,3321588,1204212,72104642,4525783,3321641,1204150,72104642,4525144,3321097,1204068,72104642,4525464,3321383,1204087,72104642,4525224,3321181,1204055,72104642,4525144,3320996,1204170,72104642,4525864,3321705,1204168,72104642,4525784,3321539,1204263,72104642,4525784,3321765,1204039,72104642,4525784,3321625,1204169,72104642,0,72104642,77,288418568,288002854,72003475,1930649354042295,1930750905914269,1930750910341729,1930649359616578
29,__amd_rocclr_copyBuffer.kd,2,0,137,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,745,59832,0,16,16,304,0,2559.0,0.0,7846.0,7525.0,1082005.0,7957.0,3.0,0.0,132843,20,10,18,132843,20,10,19,132843,20,10,18,132843,20,10,18,132843,16,8,16,132843,18,10,20,132843,20,10,22,132843,20,10,18,132843,20,10,18,132843,20,10,19,132843,20,10,18,132843,20,10,18,132843,16,8,16,132843,18,10,20,132843,20,10,22,132843,20,10,18,132843,0,132843,0,531372,49978,22953,1930649364215761,1930750913443310,1930750913446234,1930649364791140
30,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,140,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,193267172,15458483796,0,1048576,20971520,38273024,0,549621046.0,0.0,827032462.0,472458013.0,2736085306.0,872386742.0,492137.0,303191.0,72095540,4525184,3330434,1194768,72095540,4525504,3331162,1194358,72095540,4525264,3330604,1194672,72095540,4525184,3330893,1194316,72095540,4525904,3331187,1194722,72095540,4525824,3331429,1194411,72095540,4525824,3331039,1194803,72095540,4525824,3331478,1194358,72095540,4525184,3330414,1194794,72095540,4525504,3331031,1194489,72095540,4525264,3330425,1194852,72095540,4525184,3330624,1194581,72095540,4525904,3331149,1194759,72095540,4525824,3331427,1194415,72095540,4525824,3331148,1194696,72095540,4525824,3331418,1194419,72095540,0,72095540,0,288382160,287961708,71993246,1930649365956852,1930750913468066,1930750917890077,1930649371511756
31,__amd_rocclr_copyBuffer.kd,2,0,146,4868,4868,1024,512,0,0,16,0,32,64,0x0,0x740647f13a80,32,722,57696,0,16,16,304,0,2251.0,0.0,7454.0,7134.0,1087596.0,7564.0,3.0,0.0,129904,20,10,18,129904,20,10,19,129904,20,10,18,129904,20,10,18,129904,16,8,16,129904,18,10,20,129904,20,10,22,129904,20,10,18,129904,20,10,18,129904,20,10,19,129904,20,10,18,129904,20,10,18,129904,16,8,16,129904,18,10,20,129904,20,10,22,129904,20,10,18,129904,0,129904,0,519616,49541,22504,1930649376104359,1930750920991538,1930750920994703,1930649376674251
32,"void custom_kernel<1, false, false>(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, float*, int, int, int) [clone .kd]",2,0,149,4868,4868,2097152,512,32768,0,4,132,32,64,0x0,0x740647ee60c0,22020096,193522997,15478807628,0,1048576,20971520,38273024,0,551761534.0,0.0,830249358.0,475683062.0,2738766694.0,875577441.0,492691.0,162703.0,72165296,4525155,3331633,1193539,72165296,4525474,3332364,1193124,72165296,4525236,3331780,1193470,72165296,4525156,3332002,1193174,72165296,4525876,3332314,1193567,72165296,4525796,3332485,1193327,72165296,4525796,3332352,1193462,72165296,4525796,3332675,1193130,72165296,4525156,3331748,1193428,72165296,4525476,3332346,1193146,72165296,4525235,3331705,1193545,72165296,4525156,3331923,1193254,72165296,4525876,3332509,1193371,72165296,4525796,3332716,1193097,72165296,4525796,3332302,1193511,72165296,4525796,3332565,1193240,72165296,0,72165296,0,288661184,288243972,72063962,1930649377832361,1930750921018818,1930750925445637,1930649383382578
33,"ref_kernel(__hip_fp8_e4m3_fnuz const*, __hip_fp8_e4m3_fnuz const*, float const*, float const*, __hip_bfloat16*, int, int, int) [clone .kd]",2,0,151,4868,4868,67108864,256,0,0,52,4,48,64,0x0,0x740647ee5fc0,17315135488,190628925617,15248040847020,17179869184,1048576,17314086912,28339863552,0,106049509717.0,0.0,109570571630.0,39976323921.0,109641680594.0,109572317933.0,287141537.0,81020557.0,2891827464,941985278,360075021,581910273,2891827464,941965093,360021145,581943963,2891827464,942007052,360058450,581948615,2891827464,941984131,360019174,581964965,2891827464,942013331,359855224,582158112,2891827464,941979193,359717336,582261865,2891827464,942030289,359980632,582049669,2891827464,942006225,359918393,582087853,2891827464,941983713,360052117,581931613,2891827464,941959449,359998700,581960764,2891827464,942006031,360066935,581939108,2891827464,941978484,360042297,581936196,2891827464,942020442,359884223,582136223,2891827464,941985204,359738008,582247204,2891827464,942036885,360008973,582027926,2891827464,942020218,359968471,582051770,2891700072,127392,2891827464,307,11567309856,11541123320,2887537640,1930649384632084,1930750925516017,1930751141927685,1930649602726401
